Xdistance [mm],Ydistance [mm],Freq [MHz],"mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
0.254,5.254,0.1,50.58032537
0.254,5.254,0.101157945,50.58080042
0.254,5.254,0.102329299,50.58128596
0.254,5.254,0.103514217,50.58178222
0.254,5.254,0.104712855,50.58228942
0.254,5.254,0.105925373,50.58280778
0.254,5.254,0.107151931,50.58333754
0.254,5.254,0.108392691,50.58387893
0.254,5.254,0.10964782,50.58443219
0.254,5.254,0.110917482,50.58499758
0.254,5.254,0.112201845,50.58557533
0.254,5.254,0.113501082,50.5861657
0.254,5.254,0.114815362,50.58676896
0.254,5.254,0.116144861,50.58738536
0.254,5.254,0.117489755,50.58801516
0.254,5.254,0.118850223,50.58865866
0.254,5.254,0.120226443,50.58931611
0.254,5.254,0.1216186,50.5899878
0.254,5.254,0.123026877,50.59067403
0.254,5.254,0.124451461,50.59137507
0.254,5.254,0.125892541,50.59209124
0.254,5.254,0.127350308,50.59282282
0.254,5.254,0.128824955,50.59357013
0.254,5.254,0.130316678,50.59433347
0.254,5.254,0.131825674,50.59511317
0.254,5.254,0.133352143,50.59590955
0.254,5.254,0.134896288,50.59672293
0.254,5.254,0.136458314,50.59755365
0.254,5.254,0.138038426,50.59840204
0.254,5.254,0.139636836,50.59926845
0.254,5.254,0.141253754,50.60015323
0.254,5.254,0.142889396,50.60105674
0.254,5.254,0.144543977,50.60197932
0.254,5.254,0.146217717,50.60292136
0.254,5.254,0.147910839,50.60388321
0.254,5.254,0.149623566,50.60486527
0.254,5.254,0.151356125,50.6058679
0.254,5.254,0.153108746,50.60689151
0.254,5.254,0.154881662,50.60793647
0.254,5.254,0.156675107,50.60900321
0.254,5.254,0.158489319,50.61009211
0.254,5.254,0.160324539,50.6112036
0.254,5.254,0.16218101,50.61233809
0.254,5.254,0.164058977,50.613496
0.254,5.254,0.165958691,50.61467778
0.254,5.254,0.167880402,50.61588385
0.254,5.254,0.169824365,50.61711465
0.254,5.254,0.171790839,50.61837065
0.254,5.254,0.173780083,50.61965228
0.254,5.254,0.175792361,50.62096003
0.254,5.254,0.177827941,50.62229434
0.254,5.254,0.179887092,50.62365571
0.254,5.254,0.181970086,50.6250446
0.254,5.254,0.1840772,50.62646152
0.254,5.254,0.186208714,50.62790694
0.254,5.254,0.188364909,50.62938139
0.254,5.254,0.190546072,50.63088536
0.254,5.254,0.192752491,50.63241936
0.254,5.254,0.19498446,50.63398393
0.254,5.254,0.197242274,50.63557959
0.254,5.254,0.199526231,50.63720688
0.254,5.254,0.201836636,50.63886634
0.254,5.254,0.204173794,50.64055852
0.254,5.254,0.206538016,50.64228399
0.254,5.254,0.208929613,50.6440433
0.254,5.254,0.211348904,50.64583702
0.254,5.254,0.213796209,50.64766575
0.254,5.254,0.216271852,50.64953007
0.254,5.254,0.218776162,50.65143058
0.254,5.254,0.221309471,50.65336787
0.254,5.254,0.223872114,50.65534257
0.254,5.254,0.226464431,50.6573553
0.254,5.254,0.229086765,50.65940668
0.254,5.254,0.231739465,50.66149736
0.254,5.254,0.234422882,50.66362797
0.254,5.254,0.237137371,50.66579919
0.254,5.254,0.239883292,50.66801167
0.254,5.254,0.24266101,50.67026609
0.254,5.254,0.245470892,50.67256314
0.254,5.254,0.248313311,50.6749035
0.254,5.254,0.251188643,50.67728789
0.254,5.254,0.254097271,50.67971703
0.254,5.254,0.257039578,50.68219163
0.254,5.254,0.260015956,50.68471244
0.254,5.254,0.263026799,50.6872802
0.254,5.254,0.266072506,50.68989568
0.254,5.254,0.26915348,50.69255965
0.254,5.254,0.272270131,50.6952729
0.254,5.254,0.27542287,50.69803622
0.254,5.254,0.278612117,50.70085043
0.254,5.254,0.281838293,50.70371635
0.254,5.254,0.285101827,50.70663482
0.254,5.254,0.28840315,50.7096067
0.254,5.254,0.291742701,50.71263286
0.254,5.254,0.295120923,50.71571418
0.254,5.254,0.298538262,50.71885156
0.254,5.254,0.301995172,50.72204593
0.254,5.254,0.305492111,50.72529822
0.254,5.254,0.309029543,50.72860938
0.254,5.254,0.312607937,50.73198039
0.254,5.254,0.316227766,50.73541224
0.254,5.254,0.319889511,50.73890595
0.254,5.254,0.323593657,50.74246254
0.254,5.254,0.327340695,50.74608307
0.254,5.254,0.331131121,50.74976862
0.254,5.254,0.334965439,50.75352029
0.254,5.254,0.338844156,50.7573392
0.254,5.254,0.342767787,50.76122651
0.254,5.254,0.34673685,50.76518339
0.254,5.254,0.350751874,50.76921104
0.254,5.254,0.354813389,50.77331069
0.254,5.254,0.358921935,50.7774836
0.254,5.254,0.363078055,50.78173105
0.254,5.254,0.3672823,50.78605437
0.254,5.254,0.371535229,50.79045491
0.254,5.254,0.375837404,50.79493405
0.254,5.254,0.380189396,50.79949321
0.254,5.254,0.384591782,50.80413383
0.254,5.254,0.389045145,50.80885741
0.254,5.254,0.393550075,50.81366548
0.254,5.254,0.398107171,50.81855959
0.254,5.254,0.402717034,50.82354136
0.254,5.254,0.407380278,50.82861242
0.254,5.254,0.412097519,50.83377447
0.254,5.254,0.416869383,50.83902924
0.254,5.254,0.421696503,50.84437851
0.254,5.254,0.426579519,50.8498241
0.254,5.254,0.431519077,50.85536789
0.254,5.254,0.436515832,50.86101179
0.254,5.254,0.441570447,50.86675778
0.254,5.254,0.446683592,50.87260789
0.254,5.254,0.451855944,50.87856419
0.254,5.254,0.45708819,50.88462881
0.254,5.254,0.462381021,50.89080396
0.254,5.254,0.467735141,50.89709189
0.254,5.254,0.473151259,50.90349489
0.254,5.254,0.478630092,50.91001535
0.254,5.254,0.484172368,50.9166557
0.254,5.254,0.489778819,50.92341845
0.254,5.254,0.495450191,50.93030616
0.254,5.254,0.501187234,50.93732147
0.254,5.254,0.506990708,50.9444671
0.254,5.254,0.512861384,50.95174581
0.254,5.254,0.518800039,50.95916046
0.254,5.254,0.52480746,50.96671399
0.254,5.254,0.530884444,50.9744094
0.254,5.254,0.537031796,50.98224978
0.254,5.254,0.543250331,50.99023829
0.254,5.254,0.549540874,50.9983782
0.254,5.254,0.555904257,51.00667283
0.254,5.254,0.562341325,51.0151256
0.254,5.254,0.568852931,51.02374005
0.254,5.254,0.575439937,51.03251976
0.254,5.254,0.582103218,51.04146843
0.254,5.254,0.588843655,51.05058986
0.254,5.254,0.595662144,51.05988794
0.254,5.254,0.602559586,51.06936665
0.254,5.254,0.609536897,51.07903009
0.254,5.254,0.616595002,51.08888245
0.254,5.254,0.623734835,51.09892803
0.254,5.254,0.630957344,51.10917123
0.254,5.254,0.638263486,51.11961657
0.254,5.254,0.645654229,51.13026869
0.254,5.254,0.653130553,51.14113232
0.254,5.254,0.660693448,51.15221233
0.254,5.254,0.668343918,51.1635137
0.254,5.254,0.676082975,51.17504153
0.254,5.254,0.683911647,51.18680104
0.254,5.254,0.691830971,51.19879758
