"Xdistance [mm]","Ydistance [mm]","Freq [MHz]","mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
0.254,4.254,1,51.7253254691967
0.254,4.254,1.12201845430196,51.9685875374661
0.254,4.254,1.25892541179417,52.2725572019205
0.254,4.254,1.41253754462275,52.6522821704966
0.254,4.254,1.58489319246111,53.1262302604605
0.254,4.254,1.77827941003892,53.7169580043904
0.254,4.254,1.99526231496888,54.4518519359782
0.254,4.254,2.23872113856834,55.3639277744533
0.254,4.254,2.51188643150958,56.4926653737389
0.254,4.254,2.81838293126445,57.8848540378352
0.254,4.254,3.16227766016838,59.5954293363649
0.254,4.254,3.54813389233575,61.6883062479325
0.254,4.254,3.98107170553497,64.2372615100189
0.254,4.254,4.46683592150963,67.3269946874348
0.254,4.254,5.01187233627272,71.0546013145477
0.254,4.254,5.62341325190349,75.5318165209493
0.254,4.254,6.30957344480193,80.8885305469204
0.254,4.254,7.07945784384138,87.2782528760488
0.254,4.254,7.94328234724282,94.8864605537322
0.254,4.254,8.91250938133745,103.943217142267
0.254,4.254,10,114.742285793671
0.254,8.254,1,52.0334417111182
0.254,8.254,1.12201845430196,52.3480281673816
0.254,8.254,1.25892541179417,52.7439993165643
0.254,8.254,1.41253754462275,53.2406044837986
0.254,8.254,1.58489319246111,53.8613722690347
0.254,8.254,1.77827941003892,54.6348705142435
0.254,8.254,1.99526231496888,55.5955178746146
0.254,8.254,2.23872113856834,56.784426036701
0.254,8.254,2.51188643150958,58.2502514342208
0.254,8.254,2.81838293126445,60.0500469297897
0.254,8.254,3.16227766016838,62.2501345688915
0.254,8.254,3.54813389233575,64.9270762138309
0.254,8.254,3.98107170553497,68.1689017689189
0.254,8.254,4.46683592150963,72.0768618122445
0.254,8.254,5.01187233627272,76.7680980899695
0.254,8.254,5.62341325190349,82.3797755766497
0.254,8.254,6.30957344480193,89.07542248452
0.254,8.254,7.07945784384138,97.05455095589
0.254,8.254,7.94328234724282,106.567214677868
0.254,8.254,8.91250938133745,117.93623382903
0.254,8.254,10,131.591815032075
4.254,0.254,1,50.9922330723786
4.254,0.254,1.12201845430196,51.0379587865253
4.254,0.254,1.25892541179417,51.0869815595658
4.254,0.254,1.41253754462275,51.1402679114857
4.254,0.254,1.58489319246111,51.1992769077144
4.254,0.254,1.77827941003892,51.2660182584524
4.254,0.254,1.99526231496888,51.343111812533
4.254,0.254,2.23872113856834,51.4338590353557
4.254,0.254,2.51188643150958,51.5423345927338
4.254,0.254,2.81838293126445,51.6735025626747
4.254,0.254,3.16227766016838,51.8333582258696
4.254,0.254,3.54813389233575,52.0290935561953
4.254,0.254,3.98107170553497,52.2692830184402
4.254,0.254,4.46683592150963,52.5640869242924
4.254,0.254,5.01187233627272,52.9254738111071
4.254,0.254,5.62341325190349,53.3674729707778
4.254,0.254,6.30957344480193,53.9064850002174
4.254,0.254,7.07945784384138,54.5617019076778
4.254,0.254,7.94328234724282,55.3557150004991
4.254,0.254,8.91250938133745,56.3154098598353
4.254,0.254,10,57.4732519753191
4.254,4.254,1,51.3911463920172
4.254,4.254,1.12201845430196,51.5787869504525
4.254,4.254,1.25892541179417,51.8118338160767
4.254,4.254,1.41253754462275,52.1017363650748
4.254,4.254,1.58489319246111,52.4626547093387
4.254,4.254,1.77827941003892,52.9119972493926
4.254,4.254,1.99526231496888,53.4710312597013
4.254,4.254,2.23872113856834,54.1655572393289
4.254,4.254,2.51188643150958,55.0266272486094
4.254,4.254,2.81838293126445,56.0912760947377
4.254,4.254,3.16227766016838,57.4032247544786
4.254,4.254,3.54813389233575,59.0135124860071
4.254,4.254,3.98107170553497,60.9810240761007
4.254,4.254,4.46683592150963,63.3729081635397
4.254,4.254,5.01187233627272,66.2649353515615
4.254,4.254,5.62341325190349,69.7419182271463
