"Xdistance [mm]","Ydistance [mm]","Freq [MHz]","mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
0.254,1.254,1,51.2262129260275
0.254,1.254,1.12201845430196,51.3459912262074
0.254,1.254,1.25892541179417,51.4935131235163
0.254,1.254,1.41253754462275,51.676161520013
0.254,1.254,1.58489319246111,51.9030983024305
0.254,1.254,1.77827941003892,52.1856525035883
0.254,1.254,1.99526231496888,52.5377842621461
0.254,1.254,2.23872113856834,52.9766285715993
0.254,1.254,2.51188643150958,53.5231189101298
0.254,1.254,2.81838293126445,54.2026855883326
0.254,1.254,3.16227766016838,55.0460175343287
0.254,1.254,3.54813389233575,56.0898710027797
0.254,1.254,3.98107170553497,57.3779077742607
0.254,1.254,4.46683592150963,58.961554173077
0.254,1.254,5.01187233627272,60.9008975069114
0.254,1.254,5.62341325190349,63.2656847963253
0.254,1.254,6.30957344480193,66.1365634386443
0.254,1.254,7.07945784384138,69.6068033311945
0.254,1.254,7.94328234724282,73.7848606998284
0.254,1.254,8.91250938133745,78.7982874908011
0.254,1.254,10,84.7996814269987
0.254,2.254,1,51.3760130564985
0.254,2.254,1.12201845430196,51.5417579026427
0.254,2.254,1.25892541179417,51.7477592977586
0.254,2.254,1.41253754462275,52.0043852822055
0.254,2.254,1.58489319246111,52.32443147732
0.254,2.254,1.77827941003892,52.7236382718142
0.254,2.254,1.99526231496888,53.2212891211615
0.254,2.254,2.23872113856834,53.8408870533198
0.254,2.254,2.51188643150958,54.6108997158659
0.254,2.254,2.81838293126445,55.5655555983396
0.254,2.254,3.16227766016838,56.7456676637348
0.254,2.254,3.54813389233575,58.1994597307829
0.254,2.254,3.98107170553497,59.9833818369048
0.254,2.254,4.46683592150963,62.1629310257178
0.254,2.254,5.01187233627272,64.8135501295118
0.254,2.254,5.62341325190349,68.0217617135962
0.254,2.254,6.30957344480193,71.886803885918
0.254,2.254,7.07945784384138,76.523161977759
0.254,2.254,7.94328234724282,82.0645342453568
0.254,2.254,8.91250938133745,88.6699529992381
0.254,2.254,10,96.5330705014217
0.254,3.254,1,51.5526331856121
0.254,3.254,1.12201845430196,51.7564627772769
0.254,3.254,1.25892541179417,52.0109149588294
0.254,3.254,1.41253754462275,52.328733168939
0.254,3.254,1.58489319246111,52.7256012462221
0.254,3.254,1.77827941003892,53.2207497027901
0.254,3.254,1.99526231496888,53.8376422696488
0.254,3.254,2.23872113856834,54.6047353274
0.254,3.254,2.51188643150958,55.5562957347868
0.254,3.254,2.81838293126445,56.7332569655682
0.254,3.254,3.16227766016838,58.1840935396025
0.254,3.254,3.54813389233575,59.9657057486418
0.254,3.254,3.98107170553497,62.1443381748737
0.254,3.254,4.46683592150963,64.7966133019242
0.254,3.254,5.01187233627272,68.0108488642786
0.254,3.254,5.62341325190349,71.8889426641055
0.254,3.254,6.30957344480193,76.5492475920688
0.254,3.254,7.07945784384138,82.1310274233815
0.254,3.254,7.94328234724282,88.8013119994104
0.254,3.254,8.91250938133745,96.765338408489
0.254,3.254,10,106.282427258246
0.254,4.254,1,51.7253254691967
0.254,4.254,1.12201845430196,51.9685875374661
0.254,4.254,1.25892541179417,52.2725572019205
0.254,4.254,1.41253754462275,52.6522821704966
0.254,4.254,1.58489319246111,53.1262302604605
0.254,4.254,1.77827941003892,53.7169580043904
0.254,4.254,1.99526231496888,54.4518519359782
0.254,4.254,2.23872113856834,55.3639277744533
0.254,4.254,2.51188643150958,56.4926653737389
0.254,4.254,2.81838293126445,57.8848540378352
0.254,4.254,3.16227766016838,59.5954293363649
0.254,4.254,3.54813389233575,61.6883062479325
0.254,4.254,3.98107170553497,64.2372615100189
0.254,4.254,4.46683592150963,67.3269946874348
0.254,4.254,5.01187233627272,71.0546013145477
0.254,4.254,5.62341325190349,75.5318165209493
0.254,4.254,6.30957344480193,80.8885305469204
0.254,4.254,7.07945784384138,87.2782528760488
0.254,4.254,7.94328234724282,94.8864605537322
0.254,4.254,8.91250938133745,103.943217142267
0.254,4.254,10,114.742285793671
0.254,5.254,1,51.757142911543
0.254,5.254,1.12201845430196,52.0073964479759
0.254,5.254,1.25892541179417,52.3202306882883
0.254,5.254,1.41253754462275,52.7111053530537
0.254,5.254,1.58489319246111,53.1989907657891
0.254,5.254,1.77827941003892,53.8070500376914
0.254,5.254,1.99526231496888,54.5633952144818
0.254,5.254,2.23872113856834,55.5019034942369
0.254,5.254,2.51188643150958,56.6630737499915
0.254,5.254,2.81838293126445,58.0949030024803
0.254,5.254,3.16227766016838,59.8537732564268
0.254,5.254,3.54813389233575,62.0053687123709
0.254,5.254,3.98107170553497,64.6256986847097
0.254,5.254,4.46683592150963,67.8023861910552
0.254,5.254,5.01187233627272,71.6364947131283
0.254,5.254,5.62341325190349,76.2453023608724
0.254,5.254,6.30957344480193,81.7665975906236
0.254,5.254,7.07945784384138,88.3652925400029
0.254,5.254,7.94328234724282,96.2435037436524
0.254,5.254,8.91250938133745,105.655881634127
0.254,5.254,10,116.933142629521
0.254,6.254,1,51.8637259095459
0.254,6.254,1.12201845430196,52.1373138484836
0.254,6.254,1.25892541179417,52.4823654830082
0.254,6.254,1.41253754462275,52.9159099145768
0.254,6.254,1.58489319246111,53.4588332221759
0.254,6.254,1.77827941003892,54.1366064233083
0.254,6.254,1.99526231496888,54.9800805896143
0.254,6.254,2.23872113856834,56.0263350592844
0.254,6.254,2.51188643150958,57.3195627796076
0.254,6.254,2.81838293126445,58.9119835921511
0.254,6.254,3.16227766016838,60.8647985011943
0.254,6.254,3.54813389233575,63.2492425450499
0.254,6.254,3.98107170553497,66.1478655828461
0.254,6.254,4.46683592150963,69.6562700377063
0.254,6.254,5.01187233627272,73.8856611482413
0.254,6.254,5.62341325190349,78.9667229974222
0.254,6.254,6.30957344480193,85.0555471124428
0.254,6.254,7.07945784384138,92.3426733047111
0.254,6.254,7.94328234724282,101.06688018042
0.254,6.254,8.91250938133745,111.536413904015
0.254,6.254,10,124.162299790777
0.254,7.254,1,51.9648083709426
0.254,7.254,1.12201845430196,52.259677434637
0.254,7.254,1.25892541179417,52.6312317416852
0.254,7.254,1.41253754462275,53.0976450304296
0.254,7.254,1.58489319246111,53.6811780200159
