Xdistance [mm],Ydistance [mm],Freq [MHz],"mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
0.254,5.254,0.1,50.58280993
0.254,5.254,0.101157945,50.58332744
0.254,5.254,0.102329299,50.58385623
0.254,5.254,0.103514217,50.58439652
0.254,5.254,0.104712855,50.58494855
0.254,5.254,0.105925373,50.58551256
0.254,5.254,0.107151931,50.58608878
0.254,5.254,0.108392691,50.58667747
0.254,5.254,0.10964782,50.58727888
0.254,5.254,0.110917482,50.58789325
0.254,5.254,0.112201845,50.58852086
0.254,5.254,0.113501082,50.58916195
0.254,5.254,0.114815362,50.58981679
0.254,5.254,0.116144861,50.59048566
0.254,5.254,0.117489755,50.59116884
0.254,5.254,0.118850223,50.5918666
0.254,5.254,0.120226443,50.59257923
0.254,5.254,0.1216186,50.59330701
0.254,5.254,0.123026877,50.59405024
0.254,5.254,0.124451461,50.59480922
0.254,5.254,0.125892541,50.59558425
0.254,5.254,0.127350308,50.59637564
0.254,5.254,0.128824955,50.5971837
0.254,5.254,0.130316678,50.59800874
0.254,5.254,0.131825674,50.5988511
0.254,5.254,0.133352143,50.59971109
0.254,5.254,0.134896288,50.60058904
0.254,5.254,0.136458314,50.6014853
0.254,5.254,0.138038426,50.6024002
0.254,5.254,0.139636836,50.60333408
0.254,5.254,0.141253754,50.60428731
0.254,5.254,0.142889396,50.60526023
0.254,5.254,0.144543977,50.6062532
0.254,5.254,0.146217717,50.60726659
0.254,5.254,0.147910839,50.60830077
0.254,5.254,0.149623566,50.60935611
0.254,5.254,0.151356125,50.610433
0.254,5.254,0.153108746,50.61153182
0.254,5.254,0.154881662,50.61265296
0.254,5.254,0.156675107,50.61379681
0.254,5.254,0.158489319,50.61496378
0.254,5.254,0.160324539,50.61615427
0.254,5.254,0.16218101,50.6173687
0.254,5.254,0.164058977,50.61860747
0.254,5.254,0.165958691,50.61987101
0.254,5.254,0.167880402,50.62115974
0.254,5.254,0.169824365,50.62247411
0.254,5.254,0.171790839,50.62381453
0.254,5.254,0.173780083,50.62518147
0.254,5.254,0.175792361,50.62657535
0.254,5.254,0.177827941,50.62799664
0.254,5.254,0.179887092,50.6294458
0.254,5.254,0.181970086,50.63092328
0.254,5.254,0.1840772,50.63242956
0.254,5.254,0.186208714,50.63396511
0.254,5.254,0.188364909,50.63553041
0.254,5.254,0.190546072,50.63712595
0.254,5.254,0.192752491,50.63875221
0.254,5.254,0.19498446,50.6404097
0.254,5.254,0.197242274,50.64209892
0.254,5.254,0.199526231,50.64382037
0.254,5.254,0.201836636,50.64557458
0.254,5.254,0.204173794,50.64736205
0.254,5.254,0.206538016,50.64918333
0.254,5.254,0.208929613,50.65103893
0.254,5.254,0.211348904,50.65292941
0.254,5.254,0.213796209,50.6548553
0.254,5.254,0.216271852,50.65681716
0.254,5.254,0.218776162,50.65881554
0.254,5.254,0.221309471,50.66085102
0.254,5.254,0.223872114,50.66292417
0.254,5.254,0.226464431,50.66503556
0.254,5.254,0.229086765,50.66718578
0.254,5.254,0.231739465,50.66937544
0.254,5.254,0.234422882,50.67160512
0.254,5.254,0.237137371,50.67387545
0.254,5.254,0.239883292,50.67618704
0.254,5.254,0.24266101,50.67854051
0.254,5.254,0.245470892,50.68093651
0.254,5.254,0.248313311,50.68337569
0.254,5.254,0.251188643,50.68585868
0.254,5.254,0.254097271,50.68838617
0.254,5.254,0.257039578,50.69095882
0.254,5.254,0.260015956,50.69357732
0.254,5.254,0.263026799,50.69624237
0.254,5.254,0.266072506,50.69895467
0.254,5.254,0.26915348,50.70171494
0.254,5.254,0.272270131,50.70452391
0.254,5.254,0.27542287,50.70738232
0.254,5.254,0.278612117,50.71029094
0.254,5.254,0.281838293,50.71325052
0.254,5.254,0.285101827,50.71626186
0.254,5.254,0.28840315,50.71932575
0.254,5.254,0.291742701,50.72244301
0.254,5.254,0.295120923,50.72561446
0.254,5.254,0.298538262,50.72884095
0.254,5.254,0.301995172,50.73212335
0.254,5.254,0.305492111,50.73546253
0.254,5.254,0.309029543,50.7388594
0.254,5.254,0.312607937,50.74231487
0.254,5.254,0.316227766,50.74582988
0.254,5.254,0.319889511,50.74940539
0.254,5.254,0.323593657,50.75304238
0.254,5.254,0.327340695,50.75674186
0.254,5.254,0.331131121,50.76050485
0.254,5.254,0.334965439,50.7643324
0.254,5.254,0.338844156,50.76822559
0.254,5.254,0.342767787,50.77218552
0.254,5.254,0.34673685,50.77621332
0.254,5.254,0.350751874,50.78031015
