"Xdistance [mm]","Ydistance [mm]","Freq [MHz]","mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
3.254,0.254,4.46683592150963,52.7179644299323
3.254,0.254,5.01187233627272,53.1237074841533
3.254,0.254,5.62341325190349,53.621201219745
3.254,0.254,6.30957344480193,54.229247797023
3.254,0.254,7.07945784384138,54.9699034159356
3.254,0.254,7.94328234724282,55.8691344860346
3.254,0.254,8.91250938133745,56.9577471874713
3.254,0.254,10,58.272681264453
4.254,0.254,1,51.0010699200114
4.254,0.254,1.12201845430196,51.0465361101293
4.254,0.254,1.25892541179417,51.0949810895897
4.254,0.254,1.41253754462275,51.1473626830983
4.254,0.254,1.58489319246111,51.2051232335687
4.254,0.254,1.77827941003892,51.2702401050583
4.254,0.254,1.99526231496888,51.3452787575782
4.254,0.254,2.23872113856834,51.433458708073
4.254,0.254,2.51188643150958,51.5387397588286
4.254,0.254,2.81838293126445,51.6659321053492
4.254,0.254,3.16227766016838,51.8208303534794
4.254,0.254,3.54813389233575,52.0103686608348
4.254,0.254,3.98107170553497,52.2427926321626
4.254,0.254,4.46683592150963,52.5278440273329
4.254,0.254,5.01187233627272,52.8769581448447
4.254,0.254,5.62341325190349,53.3034827624813
4.254,0.254,6.30957344480193,53.822943312399
4.254,0.254,7.07945784384138,54.4534012792
4.254,0.254,7.94328234724282,55.2159775565989
4.254,0.254,8.91250938133745,56.1356306801875
4.254,0.254,10,57.2422795757904
5.254,0.254,1,51.0117099794216
5.254,0.254,1.12201845430196,51.0573668315887
5.254,0.254,1.25892541179417,51.1055419656042
5.254,0.254,1.41253754462275,51.1571294177183
5.254,0.254,1.58489319246111,51.2134976551775
5.254,0.254,1.77827941003892,51.2765318732991
5.254,0.254,1.99526231496888,51.3486785476607
5.254,0.254,2.23872113856834,51.4330025904153
5.254,0.254,2.51188643150958,51.5332641802618
5.254,0.254,2.81838293126445,51.6540183777659
5.254,0.254,3.16227766016838,51.8007369927457
5.254,0.254,3.54813389233575,51.9799493437039
5.254,0.254,3.98107170553497,52.199396959672
5.254,0.254,4.46683592150963,52.4681976719256
5.254,0.254,5.01187233627272,52.7970182896126
5.254,0.254,5.62341325190349,53.1982640364812
5.254,0.254,6.30957344480193,53.6863088236063
5.254,0.254,7.07945784384138,54.2778131963362
5.254,0.254,7.94328234724282,54.9922026134797
5.254,0.254,8.91250938133745,55.8523987831793
5.254,0.254,10,56.8858990480991
5.254,0.508,1,50.9766951787478
5.254,0.508,1.12201845430196,51.0304375585048
5.254,0.508,1.25892541179417,51.0938055195502
5.254,0.508,1.41253754462275,51.1696769833232
5.254,0.508,1.58489319246111,51.2616730043594
5.254,0.508,1.77827941003892,51.3743044270388
5.254,0.508,1.99526231496888,51.5131571163063
5.254,0.508,2.23872113856834,51.6851212388295
5.254,0.508,2.51188643150958,51.8986687691954
5.254,0.508,2.81838293126445,52.1641819794423
5.254,0.508,3.16227766016838,52.4943339243565
5.254,0.508,3.54813389233575,52.9045198413236
5.254,0.508,3.98107170553497,53.4133363386961
5.254,0.508,4.46683592150963,54.0431042425892
5.254,0.508,5.01187233627272,54.8204326424254
5.254,0.508,5.62341325190349,55.7768279606651
5.254,0.508,6.30957344480193,56.9493640932037
5.254,0.508,7.07945784384138,58.3814470908243
5.254,0.508,7.94328234724282,60.1237265844476
5.254,0.508,8.91250938133745,62.2352201306383
5.254,0.508,10,64.7847223431273
6.254,0.254,1,50.9963667698163
6.254,0.254,1.12201845430196,51.0417802542011
6.254,0.254,1.25892541179417,51.0894830645631
6.254,0.254,1.41253754462275,51.1401933162411
6.254,0.254,1.58489319246111,51.1950877054997
6.254,0.254,1.77827941003892,51.2558450908614
6.254,0.254,1.99526231496888,51.324686799989
6.254,0.254,2.23872113856834,51.4044246263472
6.254,0.254,2.51188643150958,51.4985247159585
6.254,0.254,2.81838293126445,51.611191523379
6.254,0.254,3.16227766016838,51.7474720139159
6.254,0.254,3.54813389233575,51.9133770635197
6.254,0.254,3.98107170553497,52.1160150959628
6.254,0.254,4.46683592150963,52.3637331660344
6.254,0.254,5.01187233627272,52.6662642713888
6.254,0.254,5.62341325190349,53.0348885132684
6.254,0.254,6.30957344480193,53.4826315771668
6.254,0.254,7.07945784384138,54.0245470508288
6.254,0.254,7.94328234724282,54.6781559684774
6.254,0.254,8.91250938133745,55.4641393996358
6.254,0.254,10,56.4073862021778
7.254,0.254,1,51.0148167734012
7.254,0.254,1.12201845430196,51.0583277351056
7.254,0.254,1.25892541179417,51.1054104989453
7.254,0.254,1.41253754462275,51.1574790268263
7.254,0.254,1.58489319246111,51.2164346893056
7.254,0.254,1.77827941003892,51.2847184101074
7.254,0.254,1.99526231496888,51.3653805798911
7.254,0.254,2.23872113856834,51.4621753669758
7.254,0.254,2.51188643150958,51.5796830811409
7.254,0.254,2.81838293126445,51.7234616314662
7.254,0.254,3.16227766016838,51.9002259826319
7.254,0.254,3.54813389233575,52.1180528924123
7.254,0.254,3.98107170553497,52.3866073551429
7.254,0.254,4.46683592150963,52.7173878947193
7.254,0.254,5.01187233627272,53.1239915771722
7.254,0.254,5.62341325190349,53.622408259531
7.254,0.254,6.30957344480193,54.2313686783012
7.254,0.254,7.07945784384138,54.9727921136244
7.254,0.254,7.94328234724282,55.872402250371
7.254,0.254,8.91250938133745,56.9605954069538
7.254,0.254,10,58.273642008208
