Xdistance [mm],Ydistance [mm],Freq [MHz],"mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
1.254,0.254,1,51.04975945
1.254,0.254,1.122018454,51.09759365
1.254,0.254,1.258925412,51.15010102
1.254,0.254,1.412537545,51.208958
1.254,0.254,1.584893192,51.27640007
1.254,0.254,1.77827941,51.35529091
1.254,0.254,1.995262315,51.44921254
1.254,0.254,2.238721139,51.56258376
1.254,0.254,2.511886432,51.70081153
1.254,0.254,2.818382931,51.87047721
1.254,0.254,3.16227766,52.07955739
1.254,0.254,3.548133892,52.33767736
1.254,0.254,3.981071706,52.65639478
1.254,0.254,4.466835922,53.04951193
1.254,0.254,5.011872336,53.53341985
1.254,0.254,5.623413252,54.12748725
1.254,0.254,6.309573445,54.85452471
1.254,0.254,7.079457844,55.74137793
1.254,0.254,7.943282347,56.81972976
1.254,0.254,8.912509381,58.12720911
1.254,0.254,10,59.70890602
2.254,0.254,1,51.01970008
2.254,0.254,1.122018454,51.06338982
2.254,0.254,1.258925412,51.11072957
2.254,0.254,1.412537545,51.16312709
2.254,0.254,1.584893192,51.22248238
2.254,0.254,1.77827941,51.29124106
2.254,0.254,1.995262315,51.37246509
2.254,0.254,2.238721139,51.4699275
2.254,0.254,2.511886432,51.58823534
2.254,0.254,2.818382931,51.73298188
2.254,0.254,3.16227766,51.91092748
2.254,0.254,3.548133892,52.13020645
2.254,0.254,3.981071706,52.40055679
2.254,0.254,4.466835922,52.73357054
2.254,0.254,5.011872336,53.14296664
2.254,0.254,5.623413252,53.64489719
2.254,0.254,6.309573445,54.25831404
2.254,0.254,7.079457844,55.00544452
2.254,0.254,7.943282347,55.91244877
2.254,0.254,8.912509381,57.01034805
2.254,0.254,10,58.33631158
3.254,0.254,1,51.01755246
3.254,0.254,1.122018454,51.06231778
3.254,0.254,1.258925412,51.11077167
3.254,0.254,1.412537545,51.16428736
3.254,0.254,1.584893192,51.22474253
3.254,0.254,1.77827941,51.29457391
3.254,0.254,1.995262315,51.3768473
3.254,0.254,2.238721139,51.47535075
3.254,0.254,2.511886432,51.59471569
3.254,0.254,2.818382931,51.74056764
3.254,0.254,3.16227766,51.91970595
3.254,0.254,3.548133892,52.14031008
3.254,0.254,3.981071706,52.41216903
3.254,0.254,4.466835922,52.74693172
3.254,0.254,5.011872336,53.1583798
3.254,0.254,5.623413252,53.66273411
3.254,0.254,6.309573445,54.27902162
3.254,0.254,7.079457844,55.02955215
3.254,0.254,7.943282347,55.94057799
3.254,0.254,8.912509381,57.04322708
3.254,0.254,10,58.37479842
4.254,0.254,1,50.98811331
4.254,0.254,1.122018454,51.03176941
4.254,0.254,1.258925412,51.07835104
4.254,0.254,1.412537545,51.12884886
4.254,0.254,1.584893192,51.18472335
4.254,0.254,1.77827941,51.24795246
4.254,0.254,1.995262315,51.32108409
4.254,0.254,2.238721139,51.40730313
4.254,0.254,2.511886432,51.51051956
4.254,0.254,2.818382931,51.63548065
4.254,0.254,3.16227766,51.78790704
4.254,0.254,3.548133892,51.97465001
4.254,0.254,3.981071706,52.20386586
4.254,0.254,4.466835922,52.48520398
4.254,0.254,5.011872336,52.83000878
4.254,0.254,5.623413252,53.2515449
4.254,0.254,6.309573445,53.76527019
4.254,0.254,7.079457844,54.38920336
4.254,0.254,7.943282347,55.14445736
4.254,0.254,8.912509381,56.05602796
4.254,0.254,10,57.15392774
5.254,0.254,1,50.99425746
5.254,0.254,1.122018454,51.03783199
5.254,0.254,1.258925412,51.08561506
5.254,0.254,1.412537545,51.13909091
5.254,0.254,1.584893192,51.20025277
5.254,0.254,1.77827941,51.27166551
5.254,0.254,1.995262315,51.356546
5.254,0.254,2.238721139,51.45886848
