Xdistance [mm],Ydistance [mm],Freq [MHz],"mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
10.254,0.254,3.16227766,51.78952758
10.254,0.254,3.548133892,51.99980207
10.254,0.254,3.981071706,52.25891412
10.254,0.254,4.466835922,52.57804288
10.254,0.254,5.011872336,52.9704472
10.254,0.254,5.623413252,53.45177527
10.254,0.254,6.309573445,54.04043616
10.254,0.254,7.079457844,54.75807856
10.254,0.254,7.943282347,55.63024265
10.254,0.254,8.912509381,56.68726541
10.254,0.254,10,57.96551604
10.254,5.254,1,51.41791961
10.254,5.254,1.122018454,51.61359944
10.254,5.254,1.258925412,51.85674655
10.254,5.254,1.412537545,52.15928035
10.254,5.254,1.584893192,52.5359307
10.254,5.254,1.77827941,53.00478899
10.254,5.254,1.995262315,53.58793012
10.254,5.254,2.238721139,54.31209394
10.254,5.254,2.511886432,55.20940378
10.254,5.254,2.818382931,56.31808793
10.254,5.254,3.16227766,57.68316056
10.254,5.254,3.548133892,59.35701688
10.254,5.254,3.981071706,61.39990931
10.254,5.254,4.466835922,63.88030362
10.254,5.254,5.011872336,66.87516955
10.254,5.254,5.623413252,70.47033384
10.254,5.254,6.309573445,74.76110443
10.254,5.254,7.079457844,79.8534431
10.254,5.254,7.943282347,85.86601014
10.254,5.254,8.912509381,92.93343089
10.254,5.254,10,101.2111704
