Xdistance [mm],Ydistance [mm],Freq [MHz],"mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
0.254,5.254,1,51.73828607
0.254,5.254,1.122018454,51.98151342
0.254,5.254,1.258925412,52.2873469
0.254,5.254,1.412537545,52.67091011
0.254,5.254,1.584893192,53.15083347
0.254,5.254,1.77827941,53.7499287
0.254,5.254,1.995262315,54.49594137
0.254,5.254,2.238721139,55.42237017
0.254,5.254,2.511886432,56.56933709
0.254,5.254,2.818382931,57.98449405
0.254,5.254,3.16227766,59.72396434
0.254,5.254,3.548133892,61.85334918
0.254,5.254,3.981071706,64.44888731
0.254,5.254,4.466835922,67.59894211
0.254,5.254,5.011872336,71.40610677
0.254,5.254,5.623413252,75.99036316
0.254,5.254,6.309573445,81.49391601
0.254,5.254,7.079457844,88.08859163
0.254,5.254,7.943282347,95.9871323
0.254,5.254,8.912509381,105.4605088
0.254,5.254,10,116.8648388
0.254,10.254,1,52.19953701
0.254,10.254,1.122018454,52.55198787
0.254,10.254,1.258925412,52.99476365
0.254,10.254,1.412537545,53.54908048
0.254,10.254,1.584893192,54.24079914
0.254,10.254,1.77827941,55.10120055
0.254,10.254,1.995262315,56.16779748
0.254,10.254,2.238721139,57.48515571
0.254,10.254,2.511886432,59.10570044
0.254,10.254,2.818382931,61.09050036
0.254,10.254,3.16227766,63.51006097
0.254,10.254,3.548133892,66.44522367
0.254,10.254,3.981071706,69.9883579
0.254,10.254,4.466835922,74.24514387
0.254,10.254,5.011872336,79.33736568
0.254,10.254,5.623413252,85.40727484
0.254,10.254,6.309573445,92.62427516
0.254,10.254,7.079457844,101.1949996
0.254,10.254,7.943282347,111.3784352
0.254,10.254,8.912509381,123.5088395
0.254,10.254,10,138.0312056
0.508,0.508,1,51.06310407
0.508,0.508,1.122018454,51.12682164
0.508,0.508,1.258925412,51.20207135
0.508,0.508,1.412537545,51.2922953
0.508,0.508,1.584893192,51.40181685
0.508,0.508,1.77827941,51.53601568
0.508,0.508,1.995262315,51.70154853
0.508,0.508,2.238721139,51.90662182
0.508,0.508,2.511886432,52.16132063
0.508,0.508,2.818382931,52.47799751
0.508,0.508,3.16227766,52.87172216
0.508,0.508,3.548133892,53.36079132
0.508,0.508,3.981071706,53.96729669
0.508,0.508,4.466835922,54.71774897
0.508,0.508,5.011872336,55.64376081
0.508,0.508,5.623413252,56.78280276
0.508,0.508,6.309573445,58.17906663
0.508,0.508,7.079457844,59.88449889
0.508,0.508,7.943282347,61.96010136
0.508,0.508,8.912509381,64.47763145
0.508,0.508,10,67.52187407
5.254,0.254,1,50.99425746
5.254,0.254,1.122018454,51.03783199
5.254,0.254,1.258925412,51.08561506
5.254,0.254,1.412537545,51.13909091
5.254,0.254,1.584893192,51.20025277
5.254,0.254,1.77827941,51.27166551
5.254,0.254,1.995262315,51.356546
5.254,0.254,2.238721139,51.45886848
5.254,0.254,2.511886432,51.58349945
5.254,0.254,2.818382931,51.73636391
5.254,0.254,3.16227766,51.92464302
5.254,0.254,3.548133892,52.1570012
5.254,0.254,3.981071706,52.44384035
5.254,0.254,4.466835922,52.79757953
5.254,0.254,5.011872336,53.23296251
5.254,0.254,5.623413252,53.7674046
5.254,0.254,6.309573445,54.42140551
5.254,0.254,7.079457844,55.21907644
5.254,0.254,7.943282347,56.18885262
5.254,0.254,8.912509381,57.36447879
5.254,0.254,10,58.7863534
5.254,5.254,1,51.45740708
5.254,5.254,1.122018454,51.66305029
5.254,5.254,1.258925412,51.91857373
5.254,5.254,1.412537545,52.23647975
5.254,5.254,1.584893192,52.63220396
5.254,5.254,1.77827941,53.12468431
5.254,5.254,1.995262315,53.73700028
5.254,5.254,2.238721139,54.49706907
5.254,5.254,2.511886432,55.43837427
5.254,5.254,2.818382931,56.6006909
5.254,5.254,3.16227766,58.03076263
5.254,5.254,3.548133892,59.78288733
5.254,5.254,3.981071706,61.9193832
5.254,5.254,4.466835922,64.51094486
5.254,5.254,5.011872336,67.63695931
5.254,5.254,5.623413252,71.38592974
5.254,5.254,6.309573445,75.85623756
5.254,5.254,7.079457844,81.157543
5.254,5.254,7.943282347,87.41317294
5.254,5.254,8.912509381,94.76387964
5.254,5.254,10,103.3734112
5.254,10.254,1,51.82203714
5.254,10.254,1.122018454,52.11971658
5.254,10.254,1.258925412,52.48987649
5.254,10.254,1.412537545,52.95022698
5.254,10.254,1.584893192,53.52243738
5.254,10.254,1.77827941,54.23281808
5.254,10.254,1.995262315,55.11304393
5.254,10.254,2.238721139,56.20088721
5.254,10.254,2.511886432,57.54091674
5.254,10.254,2.818382931,59.18511478
5.254,10.254,3.16227766,61.19337021
5.254,10.254,3.548133892,63.63383248
5.254,10.254,3.981071706,66.58315884
5.254,10.254,4.466835922,70.12675575
5.254,10.254,5.011872336,74.35919377
5.254,10.254,5.623413252,79.38504817
5.254,10.254,6.309573445,85.32047187
5.254,10.254,7.079457844,92.29584027
