"coinPosition [mm]","Freq [MHz]","mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
0,1,50.0167779358398
0,1.12201845430196,50.0172652335364
0,1.25892541179417,50.0178357873136
0,1.41253754462275,50.0184945131693
0,1.58489319246111,50.0192432910362
0,1.77827941003892,50.0200803017292
0,1.99526231496888,50.020999892331
0,2.23872113856834,50.0219932240001
0,2.51188643150958,50.0230498223038
0,2.81838293126445,50.0241599340913
0,3.16227766016838,50.025317376411
0,3.54813389233575,50.0265224442107
0,3.98107170553497,50.0277844876516
0,4.46683592150963,50.029123958519
0,5.01187233627272,50.0305739718674
0,5.62341325190349,50.0321816348182
0,6.30957344480193,50.0340095026977
0,7.07945784384138,50.0361375344724
0,7.94328234724282,50.0386658726234
0,8.91250938133745,50.0417187109465
0,10,50.0454494657655
1,1,50.0167779338952
1,1.12201845430196,50.0172731734926
1,1.25892541179417,50.0178483596108
1,1.41253754462275,50.0185064768354
1,1.58489319246111,50.0192473005429
1,1.77827941003892,50.0200670417158
1,1.99526231496888,50.0209586282714
1,2.23872113856834,50.0219127960249
1,2.51188643150958,50.0229199875225
1,2.81838293126445,50.0239728445655
1,3.16227766016838,50.0250689224541
1,3.54813389233575,50.0262132305522
1,3.98107170553497,50.0274203303399
1,4.46683592150963,50.02871593967
1,5.01187233627272,50.0301382062634
1,5.62341325190349,50.0317389523463
1,6.30957344480193,50.0335852353573
1,7.07945784384138,50.0357615414003
1,7.94328234724282,50.0383728694263
1,8.91250938133745,50.0415489078216
1,10,50.0454494655553
2,1,50.0167779338952
2,1.12201845430196,50.0172731734926
2,1.25892541179417,50.0178483596108
2,1.41253754462275,50.0185064768354
2,1.58489319246111,50.0192473005429
2,1.77827941003892,50.0200670417158
2,1.99526231496888,50.0209586282714
2,2.23872113856834,50.0219127960249
2,2.51188643150958,50.0229199875225
2,2.81838293126445,50.0239728445655
2,3.16227766016838,50.0250689224541
2,3.54813389233575,50.0262132305522
2,3.98107170553497,50.0274203303399
2,4.46683592150963,50.02871593967
2,5.01187233627272,50.0301382062634
2,5.62341325190349,50.0317389523463
2,6.30957344480193,50.0335852353573
2,7.07945784384138,50.0357615414003
2,7.94328234724282,50.0383728694263
2,8.91250938133745,50.0415489078216
2,10,50.0454494655553
3,1,50.0167779338952
3,1.12201845430196,50.0172731734926
3,1.25892541179417,50.0178483596108
3,1.41253754462275,50.0185064768354
3,1.58489319246111,50.0192473005429
3,1.77827941003892,50.0200670417158
3,1.99526231496888,50.0209586282714
3,2.23872113856834,50.0219127960249
3,2.51188643150958,50.0229199875225
3,2.81838293126445,50.0239728445655
3,3.16227766016838,50.0250689224541
3,3.54813389233575,50.0262132305522
3,3.98107170553497,50.0274203303399
3,4.46683592150963,50.02871593967
3,5.01187233627272,50.0301382062634
3,5.62341325190349,50.0317389523463
3,6.30957344480193,50.0335852353573
3,7.07945784384138,50.0357615414003
3,7.94328234724282,50.0383728694263
3,8.91250938133745,50.0415489078216
3,10,50.0454494655553
4,1,50.0167779338952
4,1.12201845430196,50.0172731734926
4,1.25892541179417,50.0178483596108
4,1.41253754462275,50.0185064768354
4,1.58489319246111,50.0192473005429
4,1.77827941003892,50.0200670417158
4,1.99526231496888,50.0209586282714
