"coinPosition [mm]","Freq [MHz]","mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
0,1,50.0170453672464
0,1.12201845430196,50.017491508965
0,1.25892541179417,50.0180084165006
0,1.41253754462275,50.0185983377852
0,1.58489319246111,50.0192606932762
0,1.77827941003892,50.0199918801043
0,1.99526231496888,50.0207856715325
0,2.23872113856834,50.0216343367806
0,2.51188643150958,50.0225304426626
0,2.81838293126445,50.0234691178797
0,3.16227766016838,50.024450444628
0,3.54813389233575,50.0254816509367
0,3.98107170553497,50.0265789104269
0,4.46683592150963,50.0277687520899
0,5.01187233627272,50.0290892605245
0,5.62341325190349,50.0305913525606
0,6.30957344480193,50.0323404419182
0,7.07945784384138,50.0344187763645
0,7.94328234724282,50.0369286880288
0,8.91250938133745,50.0399969637866
0,10,50.0437805299862
1,1,50.0159854478061
1,1.12201845430196,50.0163547673301
1,1.25892541179417,50.0167935237189
1,1.41253754462275,50.0173086485992
1,1.58489319246111,50.0179053928018
1,1.77827941003892,50.0185865520442
1,1.99526231496888,50.0193519048251
1,2.23872113856834,50.0201981144015
1,2.51188643150958,50.021119327564
1,2.81838293126445,50.022108590799
1,3.16227766016838,50.023160016401
1,3.54813389233575,50.0242714351558
1,3.98107170553497,50.0254471590989
1,4.46683592150963,50.0267005073158
1,5.01187233627272,50.0280559084165
1,5.62341325190349,50.0295506104698
1,6.30957344480193,50.0312362134069
1,7.07945784384138,50.033180335348
1,7.94328234724282,50.035468728802
1,8.91250938133745,50.0382081046894
1,10,50.0415298360846
2,1,50.016627469495
2,1.12201845430196,50.0170298854638
2,1.25892541179417,50.0174954430475
2,1.41253754462275,50.0180262030615
2,1.58489319246111,50.0186219929489
2,1.77827941003892,50.0192804302808
2,1.99526231496888,50.0199974999028
2,2.23872113856834,50.0207687571392
2,2.51188643150958,50.0215910831741
2,2.81838293126445,50.0224647776572
2,3.16227766016838,50.0233957054834
2,3.54813389233575,50.024397257169
2,3.98107170553497,50.0254920177132
2,4.46683592150963,50.0267132066935
2,5.01187233627272,50.0281060880429
2,5.62341325190349,50.0297296174631
2,6.30957344480193,50.0316586025475
2,7.07945784384138,50.0339866218744
2,7.94328234724282,50.0368299126794
2,8.91250938133745,50.04033240911
2,10,50.0446720975098
3,1,50.0163312602168
3,1.12201845430196,50.0166812876194
3,1.25892541179417,50.017088077563
3,1.41253754462275,50.0175542471026
3,1.58489319246111,50.0180805789404
3,1.77827941003892,50.0186659739949
3,1.99526231496888,50.0193078725254
3,2.23872113856834,50.0200032342276
3,2.51188643150958,50.0207500453068
3,2.81838293126445,50.0215491894973
3,3.16227766016838,50.0224064408971
3,3.54813389233575,50.0233343521234
3,3.98107170553497,50.0243539173537
3,4.46683592150963,50.0254960388836
3,5.01187233627272,50.0268029581479
3,5.62341325190349,50.0283298898499
3,6.30957344480193,50.0301471173925
3,7.07945784384138,50.032342789774
3,7.94328234724282,50.0350266304515
3,8.91250938133745,50.038334745171
3,10,50.0424357034714
4,1,50.0160186659349
4,1.12201845430196,50.0163852279424
4,1.25892541179417,50.0168208222534
4,1.41253754462275,50.0173323571338
4,1.58489319246111,50.0179250456443
4,1.77827941003892,50.0186016042452
