"Xdistance [mm]","Ydistance [mm]","Freq [MHz]","mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
0.254,3.254,1.58489319246111,52.6826258881033
0.254,3.254,1.77827941003892,53.1659057340568
0.254,3.254,1.99526231496888,53.7678961139138
0.254,3.254,2.23872113856834,54.5164548851029
0.254,3.254,2.51188643150958,55.4451468036299
0.254,3.254,2.81838293126445,56.5940930799192
0.254,3.254,3.16227766016838,58.0108384905724
0.254,3.254,3.54813389233575,59.7512242860175
0.254,3.254,3.98107170553497,61.8802835918875
0.254,3.254,4.46683592150963,64.4732302494258
0.254,3.254,5.01187233627272,67.6166960256954
0.254,3.254,5.62341325190349,71.4104834887894
0.254,3.254,6.30957344480193,75.9702380328764
0.254,3.254,7.07945784384138,81.4316041178927
0.254,3.254,7.94328234724282,87.956642623204
0.254,3.254,8.91250938133745,95.7436182433582
0.254,3.254,10,105.041858580071
0.254,4.254,1,51.6952545045176
0.254,4.254,1.12201845430196,51.935120953299
0.254,4.254,1.25892541179417,52.2341966611607
0.254,4.254,1.41253754462275,52.6072902231916
0.254,4.254,1.58489319246111,53.0725632447716
0.254,4.254,1.77827941003892,53.6521887936148
0.254,4.254,1.99526231496888,54.3730816137435
0.254,4.254,2.23872113856834,55.2676842461915
0.254,4.254,2.51188643150958,56.3747847716208
0.254,4.254,2.81838293126445,57.740336586057
0.254,4.254,3.16227766016838,59.4182538655272
0.254,4.254,3.54813389233575,61.471175352665
0.254,4.254,3.98107170553497,63.9712312172042
0.254,4.254,4.46683592150963,67.0009177211763
0.254,4.254,5.01187233627272,70.6542813230667
0.254,4.254,5.62341325190349,75.038730616854
0.254,4.254,6.30957344480193,80.2779233189677
0.254,4.254,7.07945784384138,86.5163203576699
0.254,4.254,7.94328234724282,93.9261931279717
0.254,4.254,8.91250938133745,102.718193604165
0.254,4.254,10,113.157197930364
0.254,5.254,1,51.7382860671425
0.254,5.254,1.12201845430196,51.981513416943
0.254,5.254,1.25892541179417,52.2873469016847
0.254,5.254,1.41253754462275,52.6709101137106
0.254,5.254,1.58489319246111,53.1508334691909
0.254,5.254,1.77827941003892,53.7499286963938
0.254,5.254,1.99526231496888,54.4959413684931
0.254,5.254,2.23872113856834,55.4223701670784
0.254,5.254,2.51188643150958,56.5693370886705
0.254,5.254,2.81838293126445,57.9844940547704
0.254,5.254,3.16227766016838,59.7239643444452
0.254,5.254,3.54813389233575,61.8533491822384
0.254,5.254,3.98107170553497,64.4488873080252
0.254,5.254,4.46683592150963,67.5989421051716
0.254,5.254,5.01187233627272,71.4061067679712
0.254,5.254,5.62341325190349,75.9903631625216
0.254,5.254,6.30957344480193,81.4939160099367
0.254,5.254,7.07945784384138,88.088591632646
0.254,5.254,7.94328234724282,95.98713229904
0.254,5.254,8.91250938133745,105.460508756975
0.254,5.254,10,116.864838791733
0.254,6.254,1,51.8493700455335
0.254,6.254,1.12201845430196,52.1201196115547
0.254,6.254,1.25892541179417,52.4614382970091
0.254,6.254,1.41253754462275,52.8901408809373
0.254,6.254,1.58489319246111,53.4268733070008
0.254,6.254,1.77827941003892,54.0968326118507
0.254,6.254,1.99526231496888,54.9305548308567
0.254,6.254,2.23872113856834,55.9647566031421
0.254,6.254,2.51188643150958,57.2432134236295
0.254,6.254,2.81838293126445,58.8176630444871
0.254,6.254,3.16227766016838,60.7487431107497
0.254,6.254,3.54813389233575,63.1070147520649
0.254,6.254,3.98107170553497,65.9741935839584
0.254,6.254,4.46683592150963,69.4448074749883
0.254,6.254,5.01187233627272,73.6286247348119
0.254,6.254,5.62341325190349,78.6543496106834
0.254,6.254,6.30957344480193,84.6752850581309
0.254,6.254,7.07945784384138,91.8779736392518
