Xdistance [mm],Ydistance [mm],Freq [MHz],"mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
5.054,0.254,1,50.99848532
5.054,0.254,1.122018454,51.04270007
5.054,0.254,1.258925412,51.08945637
5.054,0.254,1.412537545,51.13968012
5.054,0.254,1.584893192,51.19476111
5.054,0.254,1.77827941,51.25659435
5.054,0.254,1.995262315,51.32762528
5.054,0.254,2.238721139,51.41090885
5.054,0.254,2.511886432,51.51018865
5.054,0.254,2.818382931,51.62999903
5.054,0.254,3.16227766,51.77578926
5.054,0.254,3.548133892,51.95406649
5.054,0.254,3.981071706,52.17255262
5.054,0.254,4.466835922,52.4403504
5.054,0.254,5.011872336,52.76811784
5.054,0.254,5.623413252,53.16825844
5.054,0.254,6.309573445,53.6551498
5.054,0.254,7.079457844,54.24545529
5.054,0.254,7.943282347,54.95858754
5.054,0.254,8.912509381,55.81741172
5.054,0.254,10,56.84927667
5.154,0.254,1,51.03222899
5.154,0.254,1.122018454,51.07681054
5.154,0.254,1.258925412,51.12460764
5.154,0.254,1.412537545,51.17694343
5.154,0.254,1.584893192,51.23562862
5.154,0.254,1.77827941,51.3030081
5.154,0.254,1.995262315,51.38202319
5.154,0.254,2.238721139,51.47629684
5.154,0.254,2.511886432,51.59024565
5.154,0.254,2.818382931,51.72921996
5.154,0.254,3.16227766,51.89967043
5.154,0.254,3.548133892,52.10933824
5.154,0.254,3.981071706,52.36746452
5.154,0.254,4.466835922,52.68501608
5.154,0.254,5.011872336,53.07492782
5.154,0.254,5.623413252,53.55237177
5.154,0.254,6.309573445,54.13507798
5.154,0.254,7.079457844,54.84375511
5.154,0.254,7.943282347,55.70268222
5.154,0.254,8.912509381,56.74056094
5.154,0.254,10,57.99171481
5.254,0.254,1,51.01170998
5.254,0.254,1.122018454,51.05736683
5.254,0.254,1.258925412,51.10554197
5.254,0.254,1.412537545,51.15712942
5.254,0.254,1.584893192,51.21349766
5.254,0.254,1.77827941,51.27653187
5.254,0.254,1.995262315,51.34867855
5.254,0.254,2.238721139,51.43300259
5.254,0.254,2.511886432,51.53326418
5.254,0.254,2.818382931,51.65401838
5.254,0.254,3.16227766,51.80073699
5.254,0.254,3.548133892,51.97994934
5.254,0.254,3.981071706,52.19939696
5.254,0.254,4.466835922,52.46819767
5.254,0.254,5.011872336,52.79701829
5.254,0.254,5.623413252,53.19826404
5.254,0.254,6.309573445,53.68630882
